# n_neighbors,slab_index,site_index,metal_index,energy
1,70,6,0,-0.102761
1,70,7,3,-1.147917
1,70,8,0,-0.140442
1,71,0,2,-0.538923
1,71,1,4,-1.465345
1,71,2,5,-0.082589
1,71,3,4,-1.052287
1,71,4,4,-1.088270
1,71,5,4,-1.154331
1,71,6,5,-0.108480
1,71,7,4,-1.329414
1,71,8,4,-1.320560
1,72,0,1,-0.164676
1,72,1,1,-0.162658
1,72,2,4,-1.491357
1,72,3,5,-0.080874
1,72,4,1,-0.252370
1,72,5,2,-0.531325
1,72,6,4,-1.320888
1,72,7,1,-0.194569
1,72,8,1,-0.078174
1,73,0,3,-1.061858
1,73,1,3,-1.099994
1,73,2,0,-0.094975
1,73,3,0,-0.101977
1,73,4,1,-0.186471
1,73,5,4,-1.441459
1,73,6,3,-0.970205
1,73,7,0,-0.105689
1,73,8,1,-0.123211
1,74,0,2,-0.523294
1,74,1,1,-0.145892
1,74,2,1,-0.150267
1,74,3,1,-0.194450
1,74,4,5,-0.037799
1,74,5,4,-1.217701
1,74,6,2,-0.640015
1,74,7,5,-0.046687
1,74,8,1,-0.157091
1,75,0,4,-1.566894
1,75,1,2,-0.670240
1,75,2,5,0.008883
1,75,3,3,-1.102144
1,75,4,3,-1.130173
1,75,5,2,-0.543400
1,75,6,5,0.029072
1,75,7,2,-0.567907
1,75,8,2,-0.657015
1,76,0,0,-0.113003
1,76,1,5,0.096258
1,76,2,5,-0.004598
1,76,3,5,-0.006838
1,76,4,5,-0.010676
1,76,5,1,-0.194990
1,76,6,1,0.034348
1,76,7,1,-0.044562
1,76,8,5,-0.002744
1,77,0,2,-0.587087
1,77,1,0,-0.071617
1,77,2,5,0.017672
1,77,3,5,-0.000026
1,77,4,0,-0.151123
1,77,5,0,-0.109647
1,77,6,0,-0.126426
1,77,7,1,-0.181272
1,77,8,5,0.034896
1,78,0,3,-0.892135
1,78,1,3,-0.892487
1,78,2,4,-1.384584
1,78,3,4,-1.376265
1,78,4,2,-0.451947
1,78,5,1,-0.112993
1,78,6,4,-1.334082
1,78,7,4,-1.361499
1,78,8,4,-1.366377
1,79,0,1,-0.284496
1,79,1,1,-0.227780
1,79,2,2,-0.510607
1,79,3,5,-0.014639
1,79,4,4,-1.559511
1,79,5,2,-0.501866
1,79,6,0,-0.145022
1,79,7,4,-1.571360
1,79,8,4,-1.537644
1,80,0,0,-0.142688
1,80,1,4,-1.128019
1,80,2,0,-0.136045
1,80,3,4,-1.484412
1,80,4,4,-1.546696
1,80,5,1,-0.173098
1,80,6,4,-1.559859
1,80,7,1,-0.193281
1,80,8,5,-0.051526
1,81,0,2,-0.606831
1,81,1,2,-0.497319
1,81,2,2,-0.574124
1,81,3,2,-0.423166
1,81,4,4,-1.462378
1,81,5,2,-0.485869
1,81,6,2,-0.523833
1,81,7,5,-0.020094
1,81,8,4,-1.622510
1,82,0,5,-0.041192
1,82,1,2,-0.583244
1,82,2,0,-0.123319
1,82,3,1,-0.359081
1,82,4,5,-0.027221
1,82,5,5,-0.096978
1,82,6,1,-0.153349
1,82,7,1,0.014529
1,82,8,0,-0.149751
1,83,0,3,-0.956934
1,83,1,5,-0.002679
1,83,2,4,-1.537848
1,83,3,4,-1.344834
1,83,4,3,-0.827629
1,83,5,4,-1.356781
1,83,6,3,-0.952625
1,83,7,1,-0.153582
1,83,8,4,-1.357015
1,84,0,5,-0.013018
1,84,1,4,-1.593899
1,84,2,4,-1.598882
1,84,3,2,-0.517413
1,84,4,1,-0.224874
1,84,5,3,-1.128196
1,84,6,4,-1.553113
1,84,7,4,-1.566331
1,84,8,1,-0.301384
1,85,0,2,-0.555910
1,85,1,0,-0.080828
1,85,2,5,0.050650
1,85,3,0,-0.159714
1,85,4,0,-0.075922
1,85,5,3,-1.243552
1,85,6,5,0.038733
1,85,7,3,-1.182994
1,85,8,3,-1.012555
1,86,0,5,-0.137717
1,86,1,3,-1.052828
1,86,2,5,-0.070977
1,86,3,3,-0.964941
1,86,4,3,-0.915137
1,86,5,3,-1.002154
1,86,6,5,-0.104685
1,86,7,5,-0.067260
1,86,8,4,-0.922088
1,87,0,1,-0.011021
1,87,1,1,-0.089353
1,87,2,1,-0.170855
1,87,3,2,-0.533217
1,87,4,2,-0.600760
1,87,5,2,-0.623139
1,87,6,5,-0.058759
1,87,7,2,-0.583079
1,87,8,2,-0.544806
1,88,0,5,0.035827
1,88,1,3,-1.071968
1,88,2,1,-0.256632
1,88,3,0,-0.202277
1,88,4,3,-1.107488
1,88,5,0,-0.200727
1,88,6,4,-1.424118
1,88,7,4,-1.526591
1,88,8,5,-0.015174
1,89,0,4,-1.487349
1,89,1,0,-0.145500
1,89,2,2,-0.512670
1,89,3,1,-0.038650
1,89,4,1,-0.077341
1,89,5,4,-1.308560
1,89,6,4,-1.442649
1,89,7,3,-0.918073
1,89,8,0,-0.148934
1,90,0,3,-1.198644
1,90,1,2,-0.571158
1,90,2,3,-1.019219
1,90,3,2,-0.544010
1,90,4,3,-1.178754
1,90,5,2,-0.576169
1,90,6,3,-1.071446
1,90,7,2,-0.576783
1,90,8,2,-0.502244
1,91,0,3,-1.075838
1,91,1,5,-0.009901
1,91,2,5,-0.005332
1,91,3,2,-0.653445
1,91,4,5,-0.111281
1,91,5,1,-0.362210
1,91,6,5,0.004360
1,91,7,2,-0.564668
1,91,8,4,-1.328934
1,92,0,5,-0.000075
1,92,1,1,-0.166671
1,92,2,1,-0.197374
1,92,3,0,-0.136394
1,92,4,0,-0.147877
1,92,5,5,-0.038304
1,92,6,1,-0.189867
1,92,7,0,-0.106604
1,92,8,0,-0.091485
1,93,0,3,-1.035329
1,93,1,5,-0.029638
1,93,2,1,-0.281718
1,93,3,1,-0.325183
1,93,4,3,-1.136432
1,93,5,5,-0.029187
1,93,6,3,-1.060820
1,93,7,0,-0.173873
1,93,8,0,-0.184847
1,94,0,5,0.030391
1,94,1,1,-0.081283
1,94,2,2,-0.593021
1,94,3,3,-0.955839
1,94,4,2,-0.551400
1,94,5,5,0.009797
1,94,6,2,-0.609313
1,94,7,5,-0.014262
0,94,8,5,-0.014262
1,95,0,2,-0.504643
1,95,1,3,-0.962042
1,95,2,4,-1.347272
1,95,3,5,0.017059
1,95,4,2,-0.532786
1,95,5,5,-0.051276
1,95,6,2,-0.545805
1,95,7,2,-0.509760
1,95,8,4,-1.467038
1,96,0,1,-0.183677
1,96,1,1,-0.183356
1,96,2,3,-0.993345
1,96,3,3,-0.990519
1,96,4,4,-1.575356
1,96,5,2,-0.478401
1,96,6,4,-1.487071
1,96,7,2,-0.455907
1,96,8,4,-1.494189
1,97,0,0,-0.125180
1,97,1,2,-0.485134
1,97,2,1,-0.237017
1,97,3,0,-0.133703
1,97,4,4,-1.376659
1,97,5,1,-0.197164
1,97,6,3,-1.115211
1,97,7,4,-1.631645
1,97,8,1,-0.275753
