# n_neighbors,slab_index,site_index,metal_index,energy
2,72,5,2,-1.362377
1,73,0,3,-0.478237
1,73,1,3,-0.502243
1,73,2,0,0.056964
1,73,3,0,0.077589
3,73,4,1,-0.330471
1,73,5,4,-0.656229
1,73,6,3,-0.366668
2,73,7,0,-0.592500
1,73,8,1,-0.117981
3,74,0,2,-1.677723
1,74,1,1,-0.226918
1,74,2,1,-0.144127
1,74,3,1,-0.199124
3,74,7,5,-1.613880
1,74,5,4,-0.643050
3,74,7,5,-1.665461
3,74,7,5,-1.630099
1,74,8,1,-0.109374
1,75,0,4,-0.753944
3,75,1,2,-1.173277
3,75,2,5,-1.230904
1,75,3,3,-0.503277
3,75,2,5,-1.289721
3,75,5,2,-1.324041
3,75,6,5,-1.430456
3,75,7,2,-1.389969
1,75,8,2,-0.775992
1,76,0,0,-0.314886
1,76,1,5,-0.879237
2,76,1,5,-1.637281
2,76,3,5,-1.498527
2,76,3,5,-1.578154
1,76,5,1,-0.274930
1,76,6,1,-1.075320
1,76,7,1,-0.264852
1,76,8,5,-0.887779
3,77,0,2,-1.509795
3,77,3,5,-1.218099
2,77,2,5,-1.217314
2,77,3,5,-1.457420
3,77,3,5,-1.220445
3,77,2,5,-1.208297
3,77,6,0,-1.560105
1,77,7,1,-0.363781
3,77,8,5,-1.576896
1,78,0,3,-0.343531
1,78,1,3,-0.309859
1,78,2,4,-0.567425
1,78,3,4,-0.609562
1,78,4,2,-0.172025
1,78,5,1,0.036499
1,78,6,4,-0.584262
1,78,7,4,-0.575363
1,78,8,4,-0.577111
3,79,0,1,-0.989859
1,79,1,1,-0.165365
1,79,2,2,-0.483184
1,79,3,5,-0.672526
1,79,4,4,-0.728479
3,79,5,2,-0.987892
1,79,6,0,0.033961
1,79,7,4,-0.799349
1,79,8,4,-0.743701
1,80,0,0,-0.045974
1,80,1,4,-0.458384
1,80,2,0,-0.032885
1,80,3,4,-0.670824
1,80,4,4,-0.731157
1,80,5,1,-0.132805
1,80,6,4,-0.679168
1,80,7,1,-0.025723
1,80,8,5,-0.774059
1,81,0,2,-0.729905
3,81,0,2,-1.268233
3,81,5,2,-1.274993
1,81,3,2,-0.435010
1,81,4,4,-0.723273
3,81,5,2,-1.233471
3,81,6,2,-1.023703
3,81,7,5,-1.354266
1,81,8,4,-0.756631
3,82,0,5,-1.563574
3,82,1,2,-1.110255
2,82,4,5,-1.345835
1,82,3,1,-0.431592
3,82,4,5,-1.650734
3,82,5,5,-1.652335
1,82,6,1,-0.288007
1,82,7,1,-0.213235
1,82,8,0,-0.298714
1,83,0,3,-0.393998
1,83,1,5,-0.384641
1,83,2,4,-0.711497
1,83,3,4,-0.556635
1,83,4,3,-0.280433
1,83,5,4,-0.559278
1,83,6,3,-0.360083
1,83,7,1,-0.026062
1,83,8,4,-0.598807
1,84,0,5,-0.402984
1,84,1,4,-0.747897
1,84,2,4,-0.713179
3,84,0,5,-1.003720
1,84,4,1,-0.031022
1,84,5,3,-0.470995
1,84,6,4,-0.721264
1,84,7,4,-0.730879
1,84,8,1,-0.067906
3,85,0,2,-1.376443
1,85,1,0,-0.184368
1,85,2,5,-0.897295
1,85,3,0,-0.297267
3,85,6,5,-1.104645
1,85,5,3,-0.583509
3,85,6,5,-1.166232
1,85,7,3,-0.581122
2,85,8,3,-0.718403
3,86,0,5,-1.775854
1,86,1,3,-0.491464
3,86,2,5,-1.742480
3,86,0,5,-1.137462
1,86,4,3,-0.469968
3,86,2,5,-1.770970
2,86,6,5,-1.729996
3,86,6,5,-1.774689
2,86,7,5,-0.900310
1,87,0,1,-0.181520
1,87,1,1,-0.151920
1,87,2,1,-0.206581
3,87,3,2,-1.471525
2,87,6,5,-1.471389
1,87,5,2,-0.784078
1,87,6,5,-0.886435
3,87,6,5,-1.573928
3,87,5,2,-1.408181
3,88,0,5,-1.114617
1,88,1,3,-0.465903
1,88,2,1,-0.194284
3,88,3,0,-1.132127
1,88,4,3,-0.550152
3,88,8,5,-1.103991
1,88,6,4,-0.714444
1,88,7,4,-0.705499
2,88,8,5,-1.149972
1,89,0,4,-0.684708
1,89,1,0,-0.008015
3,89,2,2,-0.870851
1,89,3,1,0.086606
1,89,4,1,0.027209
1,89,5,4,-0.459308
1,89,6,4,-0.663014
1,89,7,3,-0.302813
2,89,8,0,-0.375236
1,90,0,3,-0.595088
1,90,1,2,-0.570757
1,90,2,3,-0.428509
1,90,3,2,-0.521938
1,90,4,3,-0.551444
2,90,5,2,-1.140356
1,90,6,3,-0.517692
1,90,7,2,-0.563555
1,90,8,2,-0.519629
1,91,0,3,-0.573206
1,91,1,5,-0.829126
1,91,2,5,-0.788671
1,91,3,2,-0.759360
3,91,4,5,-1.575807
1,91,5,1,-0.398073
3,91,6,5,-1.554855
3,91,6,5,-1.584426
1,91,8,4,-0.724689
1,92,0,5,-0.883880
1,92,1,1,-0.295963
1,92,2,1,-0.308281
3,92,3,0,-1.364487
1,92,4,0,-0.275418
3,92,5,5,-1.362849
1,92,6,1,-0.339445
1,92,7,0,-0.293441
3,92,5,5,-1.359858
3,93,0,3,-0.736117
2,93,1,5,-1.244338
1,93,2,1,-0.239261
1,93,3,1,-0.305340
1,93,4,3,-0.481577
3,93,5,5,-1.150027
1,93,6,3,-0.472117
1,93,7,0,-0.252472
3,93,7,0,-1.218499
3,94,0,5,-1.557285
1,94,1,1,-0.161108
1,94,2,2,-0.769385
1,94,3,3,-0.466666
1,94,4,2,-0.676306
2,94,7,5,-1.535480
3,94,6,2,-1.473676
1,94,7,5,-0.954604
2,94,7,5,-1.512863
2,95,0,2,-0.919011
1,95,1,3,-0.405173
1,95,2,4,-0.592535
3,95,3,5,-1.311893
1,95,4,2,-0.633157
1,95,5,5,-0.718535
3,95,6,2,-1.307333
1,95,7,2,-0.599329
1,95,8,4,-0.715719
1,96,0,1,0.014656
1,96,1,1,0.050389
1,96,2,3,-0.388044
1,96,3,3,-0.426859
1,96,4,4,-0.782756
3,96,5,2,-0.834325
1,96,6,4,-0.651735
3,96,5,2,-0.747354
1,96,8,4,-0.731712
2,97,0,0,-0.406286
3,97,1,2,-0.894433
1,97,2,1,-0.071531
3,97,1,2,-0.924552
1,97,4,4,-0.638565
3,97,5,1,-0.395450
1,97,6,3,-0.463379
1,97,7,4,-0.810687
1,97,8,1,-0.118607
1,98,0,1,-0.360420
2,98,1,0,-0.560978
3,98,2,0,-0.498018
1,98,3,0,-0.112729
3,98,4,1,-0.594628
1,98,5,0,-0.177826
1,98,6,0,-0.119669
3,98,7,0,-0.555894
1,98,8,4,-0.848612
2,99,0,2,-1.002937
1,99,1,4,-0.528027
1,99,2,4,-0.541679
3,99,3,4,-1.041909
1,99,4,1,-0.047273
1,99,5,5,-0.696915
1,99,6,2,-0.435937
1,99,7,1,-0.142182
1,99,8,2,-0.510533
1,100,0,3,-0.523981
1,100,1,0,-0.118497
3,100,4,3,-0.623876
1,100,3,3,-0.351665
1,100,4,3,-0.488727
1,100,5,1,-0.187034
1,100,6,1,-0.163333
1,100,7,3,-0.462620
1,100,8,5,-0.714904
1,101,0,5,-0.797694
1,101,1,5,-0.928875
2,101,1,5,-1.592998
1,101,3,1,-0.355746
2,101,1,5,-1.617544
2,101,1,5,-1.665797
1,101,6,5,-1.025461
2,101,6,5,-1.112860
2,101,8,5,-1.527307
3,102,0,0,-1.278522
1,102,1,4,-0.534718
3,102,5,5,-1.325616
1,102,3,4,-0.635663
1,102,4,1,-0.208320
2,102,7,5,-1.208911
1,102,6,1,-0.144410
1,102,7,5,-0.897843
1,102,8,4,-0.604483
1,103,0,4,-0.838669
